'Acer CB3-532-C47C 15.6" Chromebook, Chrome OS, Intel Celeron N3060 Dual-Core Processor, 2GB RAM, 16GB Internal Storage',199.0,'Acer','15.6 in','2 GB','16 GB','Intel Celeron','1.6 GHz','Chrome OS','12 h'
'Acer Nitro 5 Gaming laptop, 15.6" FHD Screen, Intel Core i7-7700HQ, GeForce GTX 1050 Graphic card, 16GB DDR4 Memory, 256GB SSD, Windows 10 Home, AN515-51-78C6',849.99,'Acer','15.6 in','16 KB','256 KB','Intel Core i7','2.8 Hz','Microsoft Windows, Windows 10','8.50 Hour'
'Acer Swift 3 SF314-51-76EY i7-7500U Processor 2.7GHz 14" 8GB DDR4 256GB SSD',699.0,'Acer','14"','8 GB','256','Intel Core i7','2.70 GHz','Microsoft Windows, Windows 10','10 Hour'
'Acer Chromebook R 11 C738T-C5R6 - 11.6" - Celeron N3150 - 4 GB RAM - 32 GB SSD - US',349.99,'Acer','11.6"','4 GB','32 GB','Intel Celeron','1.60 GHz, with a Max Turbo Speed of 2.08 GHz','Chrome',nan
'Refurbished Acer Midnight Black 15.6" Aspire E5-571-563B Laptop PC with Intel Core i5-4210U Processor, 6GB Memory, 1TB Hard Drive and Windows 8.1 (Eligible for Free Windows 10 Upgrade)',441.0,'Acer','15.6"','6 GB','1 TB','Intel Core i5','1.70 GHz, with a Max Turbo Speed of 2.70 GHz','Microsoft Windows','7 hours'
'Acer Chromebook 14 CB3-431-C7VZ - 14" - Celeron N3160 - 4 GB RAM - 32 GB SSD - US',299.99,'Acer','14.0"','4 GB','32 GB','Intel Celeron','1.60 GHz, with a Max Turbo Speed of 2.24 GHz','Chrome',nan
'Acer Spin 3 SP315-51-56Y6 Touch Notebook Touch Notebook Intel Core i5-7200U Processor, 6GB Memory, 1TB Hard Drive, 15.6" Full HD Multi-Touch screen, Window 10 Home',499.0,'Acer','15.6"','6 GB','1 TB','Intel Core i5','2.50 GHz','Microsoft Windows, Windows 10','9 Hour'
'Acer Chromebook 15 PC Laptop (CB5-571-C09S) 15.6-Inch 32GB - White',265.73,'Acer','15.6"','4.00 GB','32.00 GB','Intel Celeron','1.50GHz','Chrome OS',nan
'SWITCH ALPHA 12 SA5-271-78M8 12IN 8GB 256GB W10H 11AC I7-6500U',680.16,'Acer','12.0"','8 GB','256 GB','Intel Core i7','2.50 GHz, with a Max Turbo Speed of 3.10 GHz','Windows 10','8 hours'
'Acer CB5-312T-K40U 13.3" multitouch screen Chromebook, Chrome OS, MediaTek M8173C Quad-Core Processor, 4GB RAM, 64GB eMMC',399.0,'Acer','13.3"','4 KB','64 KB','MediaTek M8173C Quad-Core Processor','2.1 Hz','Chrome','12 hours'
'Acer Aspire A517-51 A517-51-568Y 17.3" Core i5 i5-8250U 8GB DDR4 1TB HDD - Windows 10 Home Obsidian Black Notebook',582.64,'Acer','17.30 in','8.00 GB','1.00 TB','Intel Core i5','1.60 GHz','Windows 10',nan
'Acer Chromebook 14 for Work CP5-471-581N - 14" - Core i5 6200U - 8 GB RAM - 32 GB SSD - US',560.6,'Acer','14.0"','8 GB','32 GB','Intel Core i5','2.30 GHz, with a Max Turbo Speed of 2.80 GHz','Chrome','0 h'
'Acer C720 Chromebook (11.6, 2GB, 16GB SSD) Discontinued by Manufacturer Refurbished',129.99,'Acer',nan,'2 GB','16 GB',nan,nan,'Chrome OS',nan
'Acer Chromebook 14 for Work CP5-471-312N - 14" - Core i3 6100U - 8 GB RAM - 32 GB SSD - US',461.1,'Acer','14.0"','8 GB','32 GB','Intel Core i3','2.30 GHz','Chrome',nan
'Acer Chromebook C910-54M1 - 15.6" - Core i5 5200U - 4 GB RAM - 32 GB SSD - US',479.0,'Acer','15.6"','4 GB','32 GB','Intel Core i5','2.20 GHz','Chrome 64-bit','0 h'
'Refurbished Acer C720-2103 Chromebook 11.6-Inch Netbook (Gray)',109.99,'Acer',nan,nan,nan,nan,nan,nan,nan
'Acer Swift 3 SF314-51-30W6 - 14" - Core i3 6006U - 4 GB RAM - 128 GB SSD - US International',456.57,'Acer','14.00 Inches','4 Gigabytes','128 Gigabytes','Intel i3-6006U','2 Gigahertz','Windows 10','10 Hours'
'Acer Aspire 3 Notebook with Intel Celeron N3350, 4GB 500GB HDD',313.17,'Acer','15.60 Inches','4 Gigabytes','500 Gigabytes','Intel N3350','1.1 Gigahertz','Windows 10','6 Hours'
'Manufacturer Refurbished Acer Chromebook CB5-571-C09S 15.6" Intel Celeron 3205U Dual-Core 1.50 GHz 4 GB Ram 32 GB SSD Chrome OS',184.79,'Acer','15.6 in','4 GB','32 GB','Intel Celeron','1.5 GHz','Chrome OS',nan
'Acer Switch Alpha 12 SA5-271P-5972 - 12" - Core i5 6200U - 8 GB RAM - 256 GB SSD - US International',715.06,'Acer','12.0"','8 GB','256 GB','Intel Core i5','2.30 GHz, with a Max Turbo Speed of 2.80 GHz','Windows 10','8 hours'
'Acer Chromebook 14 for Work CP5-471-C0EX - 14" - Celeron 3855U - 4 GB RAM - 16 GB SSD - US',279.98,'Acer','14.0"','4 GB','16 GB','Intel Celeron','1.60 GHz','Chrome',nan
'S5-371-3164 I3-6100U 2.3G 4GB 128GB SSD 13.3IN 11AC BT4.0 W10H',455.39,'Acer','13.3"','4 GB','128 GB','Intel Core i3','2.30 GHz','Windows 10','11 hours'
'Acer Chromebook 14 for Work CP5-471-35T4 - 14" - Core i3 6100U - 4 GB RAM - 32 GB SSD - US',413.46,'Acer','14.0"','4 GB','32 GB','Intel Core i3','2.30 GHz','Chrome',nan
