'ASUS VivoBook Flip 14 Thin and Light 2-in-1 HD Touchscreen Laptop, Intel® Quad-Core Pentium® N4200 Processor (2.5GHz), 4GB RAM, 64GB EMMC Storage, Windows 10 Home',349.0,'ASUS','14.00 in','4 KB','64.00 GB','Intel Pentium','1.1 Hz','Windows 10',nan
'C201PA-DS02 11.6IN 1.8G 4GB 16GB NO TOUCH CHROME OS NAVY BLUE',249.97,'ASUS','11.6 in','4 GB','16 Gigabytes','ARM Rockchip Cortex A17-RK3288 Quad-Core Processor','1.80 GHz','Chrome OS','10 hours'
'Asus ROG Strix GL503VD-DB71 15.6" Full HD - 1TB HDD - Core i7-7700HQ GTX 1050 Ultrabook Laptop',979.0,'ASUS','15.6 in','16 GB','1 TB','Intel Core i7','2.8 GHz','Windows 10','9 h'
'ASUS VivoBook E403SA Notebook',398.2,'ASUS','14.00 in','4.00 GB','128.00 GB','Intel Pentium','1.10 GHz','Windows 10','14.00 h'
'Asus ZENBOOK UX430UA-DH74 Core i7-8550U 16GB 512GB SSD 1920 x 1080 14 Inch LCD Notebook',1073.0,'ASUS','14.00 in','16.00 GB','512.00 GB','Intel Core i7','1.80 GHz','Windows 10','9.00 h'
'Asus ROG Strix GL703VM-DB74 Core i7-7700HQ 17.3" FHD (1920*1080) GTX 1060 256GB NVMe/PCIE SSD + 1TB SSHD Gaming Laptop',1599.0,'ASUS','17.30 in','16.00 GB','1.00 TB','Intel Core i7','2.80 GHz','Windows 10',nan
'ASUS Transformer Book T100 Chi 10.1 inch Full HD Corning Concore Glass Touchscreen Detachable 2-in-1 Laptop, Intel Quad core Processor 128 GB Storage, 4GB Ram, Windows 10 - keyboard included',299.0,'ASUS',nan,nan,nan,nan,nan,nan,nan
'ASUS Matte Black X555DA-WB11 15.6" Laptop PC with AMD Quad-Core A10-8700P Processor, 4GB Memory, 500GB Hard Drive and Windows 10',654.77,'ASUS','15.6"','4 GB','500  GB','AMD Quad-Core A10-8700P Processor','1.80 GHz, with a Max Turbo Speed of 3.20 GHz','Windows 10',nan
'ASUS ROG G701VI-XS72K 17.3" Gaming Laptop i7-7820HK 32GB 512GB SSD GTX1080 W10P',2718.29,'ASUS','17.3 Inches','0 Gigabytes','0 Gigabytes','Intel Core i7','0 Gigahertz','Unknown',nan
'I7-6500U 12GB 512GB 13.3IN TOUCH SCREEN W10',1174.0,'ASUS','13.3 in','12 GB','512 GB','Intel Core i7','2.50 GHz, with a Max Turbo Speed of 3.10 GHz','Windows 10','7 hours'
'ASUS Q304UA-BHI5T11 2-in-1 13.3" Touchscreen Touch Screen Laptop Notebook PC Computer Tablet i5 6GB 1TB 7th Gen KABY LAKE i5-7200U',539.0,'ASUS','13.3','6 GB',nan,'Intel Core i5',nan,'Microsoft Windows',nan
'T102HA-D4-GR ATOM Z8350 4GB 128GB SSD 10.1IN W10 NO TOUCH',389.99,'ASUS','10.1"','4 GB','128 GB','Intel Quad-Core Atom Z8350 Processor','1.44 GHz, with a Max Turbo Speed of 1.92 GHz','Windows 10','11 Hours'
