ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life
2632,Apple MacBook Pro 15.4-Inch Laptop Intel QuadCore i7 2.4GHz / High-Resolution Display/ 16GB DDR3 Memory / 1TB SSHD (Solid State Hybrid) Drive - Refurbished,1149,Apple,15.4 Inches,16 Gigabytes,1 TB,"32 nm ""Sandy Bridge"" 2.4 GHz Intel ""Core i7"" processor",2.4 Gigahertz,Mac OS,
2633,"Certified Refurbished - Apple Macbook Pro 15"" core 2 duo 2009 [2.53] [250GB] [4GB] MC118LL/A",428.46,Apple,15 in,4 GB,250 GB,Intel Core 2 Duo,2.53 GHz,Mac OS,7 h
2634,"Refurbished Apple MacBook Pro 13.3"" 2.4GHz Dual-Core Intel i5 4GB 500GB HDD Laptop MD313LLA",428.62,Apple,13.3 in,4 GB,500 GB,Intel Core i5,,Apple iOS,
2635,"Refurbished Apple Macbook Air 13.3"" LED Laptop Intel i5-4260U Dual Core 1.4GHz 8Gb 128GB SSD",524.95,Apple,13.3 Inches,4 Gigabytes,128 Gigabytes,Intel Core i5,1.4 Gigahertz,Apple Mac OS X 10.9,12 Hours
2636,Apple MacBook Air MD760LL/A Intel Core i5-4250U X2 1.3GHz 4GB 128GB SSD (Certified Refurbished),544.68,Apple,13.3 in,4 GB,128 GB,Intel Core i5,1.3 GHz,Mac OS,12 h
2637,"Apple MacBook 12"" Laptop with Retina Display Gold 256GB HD 8GB Ram MK4M2LL/A ( Manufacturer Refurbished)",1149.99,Apple,12.00 in,8.00 GB,256 GB,Dual-Core 1.1 GHz,1.10 GHz,Mac OS X 10.10 Yosemite,
2638,"Certified Refurbished Apple Macbook Pro 13"" core i7 2011 [2.7] [500GB] [4GB] MC724LL/A - 90 Day Warranty",482.42,Apple,13 in,4 GB,500 GB,Intel Core i7,2.7 GHz,OS x 10.5 Leopard,7 h
2639,"B-Grade Refurbished Apple Macbook Pro 15"" Core i7 2013 [2.4] [ 256GB] [16GB]",759.04,Apple,15.40 in,16.00 GB,256.00 GB,Intel Core i7,2.40 GHz,Mac OS X 10.8.2,7.00 h
2640,"Refurbished Apple MacBook Pro 13.3"" 2.4GHz Dual-Core Intel i5 4GB 500GB HDD Laptop MD313LLA",449.91,Apple,13 in,4 GB,500 GB,Intel,2.4 GHz,May Come Standard with Mac OSX 10.7.2 or higher,
2641,"Apple MacBook 13.3"" Refurbished - A1181 Notebook - Intel Core 2 Duo - 2 GB RAM - 500 gb HDD - DVD-Writer - Nvidia GeForce 9400M - Wifi - Webcam - Mac OS 10.75 Lion",127.99,Apple,13.3,,500,,,,
