ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life,Clean Name
18,"HP High performance 17.3"" HD+ WLED-backlit Laptop, 7th Gen Intel i5-7200U 2.5G Hz Processor, 12GB DDR4, 1TB HDD,DVD Burner, WiFi, Webcam, HDMI, USB 3.1, Intel HD Graphics 620, DTS Sound, Windows 10",690,HP,17.3 in,12 GB,1 TB,Intel,2.5 GHz,Windows 10,,17 7th Intel i5 7200U 5G Hz 12GB Intel 620
19,"2018 Newest Premium HP 15.6” Touchscreen HD Laptop, Intel Dual Core i3-7100U Processor 2.40GHz, 8GB DDR4 RAM, 1TB HDD, HDMI, Bluetooth, Webcam, HD Graphics 620, DVD-RW, 8-Hours Battery, Win 10",469.99,HP,15.6 in,8 GB,1 TB,Intel,2.4 GHz,Windows 10,,2018 Premium 6” Touchscreen Intel Dual i3 7100U 620 Hours Battery Win
20,"2018 Lenovo Business Flagship Laptop PC 15.6"" Anti-Glare Touchscreen Intel 8th Gen i5-8250U Quad-Core Processor 12GB DDR4 RAM 1TB HDD DVD-RW Webcam HDMI Dolby Audio Windows 10",599,Lenovo,15.6 in,8 GB,1 TB,Intel,1.6 GHz,windows 10,,2018 Business Flagship Touchscreen Intel 8th i5 8250U Quad 12GB
21,"ASUS VivoBook F510UA FHD Laptop, Intel Core i5-8250U, 8GB RAM, 1TB HDD, USB-C, NanoEdge Display, Fingerprint, Windows 10, Star Gray (F510UA-AH51)",509,ASUS,15.6 in,8 GB,1 TB,Intel,1.6 GHz,Windows 10,,VivoBook F510UA Intel i5 8250U C NanoEdge Gray F510UA AH51
22,"2018 Newest HP Premium 15.6"" Laptop, AMD A6-9220 Dual-Core Processor 2.50GHz, 4GB RAM, 500GB HDD, AMD Radeon R4 Graphics, DVD-RW, HDMI, Bluetooth, HDMI, Webcam, Windows 10 (Newest Model)",287.99,HP,15.6 in,4 GB,500 GB,,2.5 GHz,Windows 10,,2018 Premium AMD A6 9220 Dual AMD Radeon R4
23,"2018 Newest Premium Dell Inspiron 15.6"" HD LED-backlit Display Laptop PC Intel Celeron Dual-Core Processor 4GB RAM 500GB HDD WiFi HDMI DVD-RW Webcam Bluetooth MaxxAudio Windows 10-Black",309,Dell,15.6 in,4 GB,500 GB,,1.6 GHz,Windows 10,,2018 Premium Inspiron Intel Celeron Dual Black
24,"Acer Aspire E 15 E5-575-33BM 15.6-Inch FHD Notebook (Intel Core i3-7100U 7th Generation , 4GB DDR4, 1TB 5400RPM HD, Intel HD Graphics 620, Windows 10 Home), Obsidian Black",349.99,Acer,15.6 in,4 GB,1 TB,Intel,2.4 GHz,Windows 10,,Aspire E E5 575 33BM Notebook Intel i3 7100U 7th Intel 620 Obsidian Black
25,"2018 HP Business 15.6-inch HD Touchscreen Laptop PC, Quad-Core AMD A12 Processor up to 3.6GHz, 8GB DDR4 SDRAM, 1TB HDD, Webcam, HDMI, DVD±RW, AMD Radeon R7 graphics, DTS Studio Sound, Windows 10",479,HP,15.6 in,8 GB,1 TB,,2.7 GHz,Windows 10,,2018 Business Touchscreen Quad AMD A12 DVD±RW AMD Radeon R7
26,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,2018 Stream Intel Celeron N3060 SSD Refurbished
27,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,Stream ax020nr Intel Celeron N3060
28,"2018 HP 14"" Flagship Laptop PC - Intel Dual Core up to 2.48GHz, 4GB RAM, 32GB eMMC, free 1-yr Office 365, 1TB OneDrive Cloud, DTS Studio, WLAN, HDMI, Webcam, USB 3.0, Windows 10",275,HP,14 in,4 GB,32 GB,,1.6 GHz,Windows 10,,2018 Flagship Intel Dual
