ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life,Clean Name
0,"HP Flyer Red 15.6"" 15-f272wm Laptop PC with Intel Pentium N3540 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home",299.0,HP,15.6 in,4 GB,500  GB,Intel Pentium,"2.16 GHz, with a Max Turbo Speed of 2.66 GHz",Windows 10,4.5 hours,Flyer Red f272wm Intel Pentium N3540 Drive
1,"HP Stream 14-ax030wm 14” Smoke Gray, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron Processor N3060, 4GB Memory, 32GB Storage",219.0,HP,14 in,4 GB,32 GB,Intel Celeron Processor N3060,1.6 Hz,Windows 10,10.25 h,Stream ax030wm 14” Smoke Gray Intel Celeron N3060
2,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",199.0,HP,11.6 in,4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,10 h,Stream Intel Celeron N3060
3,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",218.98,HP,14 in,,,Intel Celeron,,Microsoft Windows,,Stream Jet Black Intel Celeron N3060
4,"HP Black Licorice 15.6"" 15-F387WM Laptop PC with AMD A8-7410 Processor, 4GB Memory, touch screen, 500GB Hard Drive and Windows 10 Home",329.0,HP,15.6 in,4 GB,500  GB,AMD A-Series,"2.20 GHz, with a Max Turbo Speed of 2.50 GHz",Windows 10,,Black Licorice F387WM AMD A8 7410 touch Drive
5,"HP Silver Iridium Ci5 15-cc050wm 15.6"" Laptop, Touchscreen, Windows 10 Home, Intel Core i5-7200U Processor, 12GB Memory, 1TB Hard Drive",569.0,HP,15.6 in,12 GB,1 GB,7th Generation Intel Core i5-7200U Processor,2500 Hz,Windows 10,9.00 h,Silver Iridium Ci5 cc050wm Touchscreen Intel i5 7200U 12GB Drive
6,"HP 15-bs020WM, 15.6"" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD",322.24,HP,15.6 in,4 GB,500 GB,Intel Pentium Processor N3710,1.6 GHz,Windows 10,7 h,bs020WM Touch Intel Pentium N3710 Quad Drive
7,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45.0,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,10 hours,Stream Intel Celeron N3060
8,"HP 15-bw032WM 15.6"" Laptop Bundle, Windows 10, AMD A12-9720 Quad Core Processor, 8GB Memory, 1TB HDD, Wireless Mouse and Backpack, Smoke Gray",391.76,HP,15.6 in,8 GB,1 KB,,,"Microsoft Windows, @generated",,bw032WM Bundle AMD A12 9720 Quad Smoke Gray
9,"HP Jaguar 15-bs070wm, 15.6"" Natural Silver Touch Laptop, Windows 10, Intel Core i5-7200U Processor, 8GB Memory, 1TB Hard Drive",489.0,HP,15.6,8 GB,1 KB,Intel Core i5,,Microsoft Windows,,Jaguar bs070wm Natural Silver Touch Intel i5 7200U Drive
10,"Refurbished HP Stream Laptop 14-ax030wm N3060 CPU, 4GB RAM, 32GB HD",149.0,HP,,,32,,,,,Refurbished Stream ax030wm N3060 CPU
11,"HP Silver Iridium 15.6"" Laptop, Touchscreen, Intel Core i7-7500u, Intel HD Graphic 620 Graphic Card, 12GB Memory, 1TB HD, Windows 10 Home, 15-cc060wm",699.0,HP,15.6 in,12 GB,1 GB,7th Generation Intel Core i7-7500U Processor,2700 Hz,Windows 10,9 h,Silver Iridium Touchscreen Intel i7 7500u Intel Graphic 620 Graphic 12GB cc060wm
12,"HP Silver Iridium A12 15-cd040wm 15.6” Laptop, Touchscreen, Windows 10 Home, AMD Quad-Core A12-9720P, 12GB Memory, 1TB Hard Drive",449.0,HP,15.6 in,12 GB,1 GB,AMD Quad-Core A12-9720P,2700 Hz,Windows 10,7 h,Silver Iridium A12 cd040wm 6” Touchscreen AMD Quad A12 9720P 12GB Drive
13,"HP Jaguar 15-bs080wm, 15.6"" Natural Silver Touch Laptop, Windows 10, Intel Core i7-7500U Processor, 8GB Memory, 1TB Hard Drive",599.0,HP,15.6,8 GB,1 KB,Intel Core i7,,Microsoft Windows,,Jaguar bs080wm Natural Silver Touch Intel i7 7500U Drive
14,"HP Omen 15-ax250wm, 15.6"" Full-HD IPS Display, Core i7-7700HQ QC Processor, NVIDIA GTX 1050Ti 4GB Graphics Card, 12GB Memory, 1TB Hard Drive",898.99,HP,15.6 in,12 GB,1 TB,7th Generation Intel Core i7-7700HQ processor,2.8 GHz,Microsoft Windows,,Omen ax250wm Full IPS i7 7700HQ QC NVIDIA GTX 1050Ti 12GB Drive
15,"HP Black 15.6"" 15-f233wm Laptop PC with Intel Celeron N3050 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home",279.0,HP,15.6 in,4 GB,500  GB,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.16 GHz",Windows 10,4.5 hours,Black f233wm Intel Celeron N3050 Drive
16,"HP 15-ay039wm 15.6"" Silver Fusion Laptop, Windows 10, Intel Core i3-6100U Processor, 8GB Memory, 1TB Hard Drive",479.0,HP,15.6 in,8 GB,1 TB,Intel Core i3-6100U Dual-Core Processor2.3GHz,2.3 GHz,Windows 10,6 hours,ay039wm Silver Fusion Intel i3 6100U Drive
17,"Refurbished HP Stream 11.6"" Laptop, Windows 10 Home, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",139.0,HP,"11.6""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,10 hours,Refurbished Stream Intel Celeron N3060
18,"HP Pavilion 15-br080wm X360 15.6"" Touchscreen 2 in 1 Laptop, Windows 10, Intel Corei5-7200U Processor, 8GB Memory, 1TB Hard Drive, and Active Pen Included, Mineral Silver",549.0,HP,15.6,8 GB,1 TB,7th Generation Intel Core i5-7200U Processor,2.5 Hz,Windows 10,10.5 h,Pavilion br080wm X360 Touchscreen Intel Corei5 7200U Drive Mineral Silver
19,"HP 15-ay041wm 15.6"" Silver Fusion Laptop, Touch Screen, Windows 10, Intel Core i3-6100U Processor, 8GB Memory, 1TB Hard Drive",499.0,HP,"15.6""",8 GB,1 GB,"Intel 3165 AC (1x1 AC, 433 Mbps)",2.3 Hz,Windows 10,6 hours,ay041wm Silver Fusion Touch Intel i3 6100U Drive
20,"HP Pavilion 17-ar050wm, 17.3"" Laptop, Full HD IPS Dislpay, Windows 10 Home, AMD A10-9620P QC, 8GB Memory, 1TB Hard Drive, Mineral Silver",499.0,HP,17.3,8 GB,1 KB,A10,,Microsoft Windows,,Pavilion 17 ar050wm 17 Full IPS Dislpay AMD A10 9620P QC Drive Mineral Silver
21,"Refurbished HP 14-ak040wm 14"" Chromebook, Chrome, Intel Celeron N2940 Processor, 4GB RAM, 16GB eMMC Drive",169.0,HP,"14.0""",4 GB,16 GB,Intel Celeron,"1.83 GHz, with a Max Turbo Speed of 2.25 GHz",Chrome,8 hours,Refurbished ak040wm Chromebook Intel Celeron N2940 Drive
22,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,,Stream ax020nr Intel Celeron N3060
23,"HP 15-bw011wm 15.6"" Soft Gold Laptop, Windows 10, AMD A9-9420 Processor, 4GB Memory, 500GB Hard Drive, DVD",299.0,HP,15.6,4 GB,500 GB,7th Generation AMD A9-9420 APU,3 Hz,Windows 10,6.75 h,bw011wm Soft Gold AMD A9 9420 Drive
24,"Refurbished HP 11-v010wm 11.6"" Chromebook, Chrome, Intel Celeron N3060 Processor, 4GB RAM, 16GB eMMC Drive",129.0,HP,"11.6""",4 GB,16 GB,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Chrome,12 hours 45 minutes,Refurbished v010wm Chromebook Intel Celeron N3060 Drive
25,"HP 11-v010wm 11.6"" Chromebook, Chrome, Intel Celeron N3060 Processor, 4GB RAM, 16GB eMMC Drive",199.0,HP,"11.6""",4 GB,16 GB,Intel Celeron,1.6 Hz,Chrome,12 hours 45 minutes,v010wm Chromebook Intel Celeron N3060 Drive
26,"HP 15.6"" Laptop, Windows 10 Home, AMD A9-9420 Dual-Core Processor, 4GB RAM, 1TB Hard Drive (Assorted Colors)",399.99,HP,"15.6""",4 GB,1 GB,AMD A9-9420 Dual-Core APU Processor,3 Hz,Windows 10,6 hours 45 minutes,AMD A9 9420 Dual Drive Assorted Colors
27,"HP 15-ay070wm 15.6"" Realtree Xtra Camo Laptop, Windows 10, Intel Pentium N3710 Processor, 4GB Memory, 1TB Hard Drive",359.0,HP,15.6 Inches,4 GB,1 KB,Intel Pentium,1.6 Hz,Windows 10,5 hours,ay070wm Realtree Xtra Camo Intel Pentium N3710 Drive
28,"Refurbished HP 11-v020wm 11.6"" Chromebook, Touchscreen, Chrome, Intel Celeron N3060 Processor, 4GB RAM, 16GB eMMC Drive",149.48,HP,"11.6""",4 GB,16 GB,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Chrome,11 hours 30 minutes,Refurbished v020wm Chromebook Touchscreen Intel Celeron N3060 Drive
29,"HP Stream 14-ax067nr 14"" Laptop, Windows 10 Home, Intel Celeron N3060 Dual-Core Processor, 4GB RAM, 32GB Flash Storage",219.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,10 hours 45 minutes,Stream ax067nr Intel Celeron N3060 Dual
30,"HP 10-p010nr 10.1"" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Atom x5-Z8350 Quad-Core Processor, 2GB RAM, 32GB Flash Storage",229.99,HP,10.1 in,2 GB,32 GB,Intel Atom x5-Z8350 Quad-Core Processor,"1.44 GHz, with a Max Turbo Speed of 1.92 GHz",Windows 10,10 hours 30 minutes,p010nr Touchscreen Intel Atom x5 Z8350 Quad 2GB
31,"HP Pavilion X360 13-U163Nr 13.3"" Laptop, 2-in-1, Touchscreen, Windows 10 Home, Intel Core i5-7200U Dual-Core Processor, 8GB RAM, 1TB Hard Drive",599.99,HP,"13.3""",8 GB,1 TB,Intel Core i5,"2.50 GHz, with a Max Turbo Speed of 3.10 GHz",Windows 10,9 hours 15 minutes,Pavilion X360 13 U163Nr 13 Touchscreen Intel i5 7200U Dual Drive
32,"HP 14-Bw010Nr 14"" Laptop, Windows 10 Home, AMD E2-9000e Dual-Core Processor, 4GB RAM, 500GB Hard Drive",229.99,HP,"14.0""",4 GB,500 GB,AMD Dual-Core E2-9000e Processor,1.5 Hz,Windows 10,6 hours 15 minutes,Bw010Nr AMD E2 9000e Dual Drive
33,"HP Onyx Blizzard 15.6"" Laptop, FHD Screen, Intel core i7-7700, Nvidia GeForce GTX 1050 4 GB Graphic Card, 12GB Memory, 1TB HD, Windows 10 home, 15-cb045wm",799.0,HP,15.6 in,12 GB,1 GB,7th generation Intel Core i7-7700HQ processor,2800 Hz,Windows 10,10 h,Onyx Blizzard Intel i7 7700 Nvidia GeForce GTX 1050 Graphic 12GB cb045wm
34,"HP Pavilion 15-cc051wm 15.6"" Touchscreen Opulent Blue Laptop, Windows 10, Intel Core i5-7200U, 12GB Memory, 1TB Hard Drive, DVD, 802.11 AC + Bluetooth",599.0,HP,15.6,12 GB,1 GB,7th Generation Intel Core i5-7200U Processor,2.5 Hz,Microsoft Windows,8 h,Pavilion cc051wm Touchscreen Opulent Blue Intel i5 7200U 12GB Drive 802
35,"HP 14"" Snow White/Turbo Silver 14-Ak050Nr Chromebook PC with Intel Celeron N2940 Quad-Core Processor, 4GB Memory, 16GB eMMC Hard Drive and Chrome OS",249.99,HP,14.0 in,4 GB,16 GB,Intel Celeron,"1.83 GHz, with a Max Turbo Speed of 2.25 GHz",Chrome,,Snow White Turbo Silver Ak050Nr Chromebook Intel Celeron N2940 Quad Drive
36,"HP 14-ak040wm 14"" Chromebook, Chrome, Full HD IPS Display, Intel Celeron N2940 Processor, 4GB RAM, 16GB eMMC Drive",279.0,HP,"14.0""",4 GB,16 GB,Intel Celeron,1.83 Hz,Chrome,8 hours,ak040wm Chromebook Full IPS Intel Celeron N2940 Drive
37,"HP 17-Bs020Nr 17.3"" Laptop, Touchscreen, Windows 10 Home, Intel Core i3-6006U Dual-Core Processor, 8GB RAM, 1TB Hard Drive",592.99,HP,"17.3""",8 GB,1 TB,Intel Core i3,2.00 GHz,Windows 10,7 hours 30 minutes,17 Bs020Nr 17 Touchscreen Intel i3 6006U Dual Drive
38,"HP 15-Bs030Nr 15.6"" Laptop, Touchscreen, Windows 10, Intel Core i5-7200U Processor, 8GB RAM, 1TB Hard Drive",594.06,HP,"15.6""",8 GB,1 TB,Intel Core i5,"2.50 GHz, with a Max Turbo Speed of 3.10 GHz",Windows 10,5 hours 30 minutes,Bs030Nr Touchscreen Intel i5 7200U Drive
39,"Refurbished HP Natural Silver 15.6"" Envy Laptop PC with Intel Core i5-5200U Processor, 6GB Memory, touch screen, 1TB Hard Drive and Windows 10 Home",469.0,HP,"15.6""",6 GB,1 Terabytes,Intel Core i5,2.20 GHz,Windows 10,,Refurbished Natural Silver Envy Intel i5 5200U touch Drive
40,"HP 17-Bs010Nr 17.3"" Laptop, Windows 10 Home, Intel Pentium N3710 Quad-Core Processor, 4GB RAM, 1TB Hard Drive",429.99,HP,"17.3""",4 GB,1 TB,Intel Pentium,"1.60 GHz, with a Max Turbo Speed of 2.56 GHz",Windows 10,7 hours 30 minutes,17 Bs010Nr 17 Intel Pentium N3710 Quad Drive
41,"HP Pavilion Power Gaming Laptop 15.6"", FHD Screen, Intel Core i7-770, Nvidia GeForce GTX 1050 4GB Graphic Card, 12GB Memory, 1TB HD, 15-cb046wm",749.0,HP,15.6,12 GB,1 KB,7th Generation Intel Core i7-7700HQ processor,2.8 GHz,Microsoft Windows,,Pavilion Intel i7 770 Nvidia GeForce GTX 1050 Graphic 12GB cb046wm
42,"HP Omen Laptop 17.3"" FHD Screen, Intel Core i7-7700HQ, 2.8GHZ, NVIDIA GeForce GTX 1050Ti 4GB GDDR5 Graphic Card, 8GB DDR4, 1TB HD 128GB SSD, Windows Home 10, HP 17-W210Nr",1033.98,HP,"17.3""",8 GB,"1 TB, 128 GB",Intel Core i7,"2.80 GHz, with a Max Turbo Speed of 3.80 GHz",Windows 10,10 hours 30 minutes,Omen 17 Intel i7 7700HQ 8GHZ NVIDIA GeForce GTX 1050Ti GDDR5 Graphic 128GB SSD 17 W210Nr
43,"HP 14"" Snow White/Pastel Sky Blue 14-Ak060Nr Chromebook PC with Intel Celeron N2940 Quad-Core Processor, 4GB Memory, 16GB eMMC Hard Drive and Chrome OS",249.99,HP,14 in,4 GB,16 GB,Intel Celeron,1.83 Hz,Chrome,,Snow White Pastel Sky Blue Ak060Nr Chromebook Intel Celeron N2940 Quad Drive
44,"HP Pavilion 15-Cc065Nr 15.6"" Laptop, Touchscreen, Windows 10 Home, Intel Core i3-7100U Dual-Core Processor, 8GB RAM, 1TB Hard Drive",549.99,HP,"15.6""",8 GB,1 TB,Intel Core i3,2.40 GHz,Windows 10,9 hours 15 minutes,Pavilion Cc065Nr Touchscreen Intel i3 7100U Dual Drive
45,"HP Onyx Blizzard 15.6"" Laptop, FHD Screen, Intel core i5-7300hq, AMD Radeon RX 550 2GB Graphic Card, 12GB Memory, 1TB HD, Windows 10 home, 15-cb035wm",719.0,HP,15.6 in,12 GB,1 GB,7th Generation Intel Core i5-7300HQ Processor,2500 Hz,Windows 10,10.00 h,Onyx Blizzard Intel i5 7300hq AMD Radeon RX 550 2GB Graphic 12GB cb035wm
46,"HP Omen Laptop, 17.3"" FHD Screen, Intel Core i7-7700HQ, 2.8GHZ, NVIDIA GeForce GTX 1060 GDDR5 Graphic Card, 12GB DDR4 Memory, 1TB HD + 128GB SSD, Windows Home 10, HP 17-W220Nr",1199.99,HP,"17.3""",12 GB,"1 TB, 128 GB",Intel Core i7,"2.80 GHz, with a Max Turbo Speed of 3.80 GHz",Windows 10,7 hours,Omen 17 Intel i7 7700HQ 8GHZ NVIDIA GeForce GTX 1060 GDDR5 Graphic 12GB 128GB SSD 17 W220Nr
47,"HP x2 10-p020nr 10.1"" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Atom x5-Z8350 Processor, 2GB RAM, 32GB eMMC Drive",249.99,HP,"10.1""",2 GB,32 GB,Intel Atom x5-Z8350 Quad-Core Processor,"1.44 GHz, with a Max Turbo Speed of 1.92 GHz",Windows 10,10 hours 30 minutes,x2 p020nr Touchscreen Intel Atom x5 Z8350 2GB Drive
48,"HP 15-Bw010Nr 15.6"" Laptop, Windows 10, Windows 10, AMD Dual-Core E2-9000e Processor, 4GB RAM, 500GB Hard Drive",299.99,HP,"15.6""",4 GB,500 GB,AMD Dual-Core E2-9000e Processor,"1.50 GHz, with a Max Turbo Speed of 2.00 GHz",Windows 10,6 hours 15 minutes,Bw010Nr AMD Dual E2 9000e Drive
49,"HP Envy X360 15-Aq165Nr 15.6"" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Core i7-7500U Dual-Core Processor, 8GB RAM, 1TB Hard Drive",849.99,HP,"15.6""",8 GB,1 TB,Intel Core i7,"2.70 GHz, with a Max Turbo Speed of 3.50 GHz",Windows 10,10 hours 15 minutes,Envy X360 Aq165Nr Touchscreen Intel i7 7500U Dual Drive
50,"Refurbished HP 640 G1 14"" Laptop, Windows 10 Pro, Intel Core i5-4300M Processor, 8GB RAM, 500GB Hard Drive",245.0,HP,"14.0""",8 GB,500 GB,Intel Core i5,2.60 GHz,Windows 10,1 hour,Refurbished 640 G1 Intel i5 4300M Drive
51,"HP Chromebook 11 G5 - 11.6"" - Celeron N3060 - 4 GB RAM - 16 GB SSD",216.86,HP,11.60 in,4 Gigabytes,16 Gigabytes,Intel N3050,1.6 Gigahertz,Chrome OS,12 Hours,Chromebook G5 Celeron N3060 SSD
52,"Refurbished HP Envy 15-as014wm 15.6"" Laptop, Touchscreen, Windows 10 Home, Intel Core i7-6500U Processor, 8GB RAM, 1TB Hard Drive",540.0,HP,"15.6""",8 GB,1 TB,Intel Core i7,"2.50 GHz, with a Max Turbo Speed of 3.10 GHz",Windows 10,9 hours,Refurbished Envy as014wm Touchscreen Intel i7 6500U Drive
53,"HP Envy 17-U110Nr 17.3"" Laptop, Touchscreen, Windows 10 Home, Intel Core i7-7500U Dual-Core Processor, 12GB RAM, 1TB Hard Drive",1045.47,HP,"17.3""",12 GB,1 TB,Intel Core i7,"2.70 GHz, with a Max Turbo Speed of 3.50 GHz",Windows 10,7 hours 45 minutes,Envy 17 U110Nr 17 Touchscreen Intel i7 7500U Dual 12GB Drive
54,"HP HP Omen Laptop 15.6"" FHD Screen, Intel Core i7-7700HQ, 2.8GHZ, NVIDIA GeForce GTX 1050 Ti 4GB GDDR5, 8GB DDR4 Memory, 1TB HD 128GB SSD, Windows Home 10, 15-ax210nr",949.99,HP,"15.6""",8 GB,"1 TB, 128 GB",Intel Core i7,"2.80 GHz, with a Max Turbo Speed of 3.80 GHz",Windows 10,10 hours 30 minutes,Omen Intel i7 7700HQ 8GHZ NVIDIA GeForce GTX 1050 Ti GDDR5 128GB SSD ax210nr
55,"HP Envy X360 15-Aq110Nr 15.6"" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Core i7-7500U Dual-Core Processor, 8GB RAM, 256GB Solid State Drive",904.82,HP,"15.6""",8 GB,256 GB,Intel Core i7,"2.70 GHz, with a Max Turbo Speed of 3.50 GHz",Windows 10,11 hours 30 minutes,Envy X360 Aq110Nr Touchscreen Intel i7 7500U Dual Drive
56,"HP 15-Bw071Nr 15.6"" Laptop, Windows 10 Home, AMD A9-9420 Dual-Core Processor, 4GB RAM, 1TB Hard Drive",399.99,HP,"15.6""",4 GB,1 TB,AMD A9-9420 Dual-Core APU Processor,"3.00 GHz, with a Max Turbo Speed of 3.60 GHz",Windows 10,6 hours 45 minutes,Bw071Nr AMD A9 9420 Dual Drive
57,"HP 14-ak030nr 14"" Chromebook, Chrome, Intel Celeron N2840 Processor, 4GB RAM, 16GB eMMC",229.0,HP,"14.0""",4 GB,16 GB,Intel Celeron,"2.16 GHz, with a Max Turbo Speed of 2.58 GHz",Chrome,9 hours 15 minutes,ak030nr Chromebook Intel Celeron N2840
58,"HP 15.6"" Touchscreen Notebook w/ AMD A8, 4GB RAM, 1TB HDD, Windows 10 Home - Red",478.23,HP,15.6 in,4 Gigabytes,1 Terabytes,AMD A8-7410 A-Series Quad-core (4 Core),2.20 Gigahertz,Windows 10,5 hours 30 minutes,Touchscreen Notebook w AMD A8 Red
59,"HP 17-Ak010Nr 17.3"" Laptop, Windows 10 Home, AMD A9-9420 Dual-Core Processor, 4GB RAM, 500GB Hard Drive",399.99,HP,"17.3""",4 GB,500 GB,AMD A9-9420 Dual-Core APU Processor,"3.00 GHz, with a Max Turbo Speed of 3.60 GHz",Windows 10,7 hours 15 minutes,17 Ak010Nr 17 AMD A9 9420 Dual Drive
60,HP Notebook 15-bs020nr Notebook - 15-bs020nr,399.99,HP,"15.6""",4 GB,1 TB,Intel Core i3,2.00 GHz,Windows 10,5 hours 30 minutes,Notebook bs020nr Notebook bs020nr
61,"HP Eclipse Ci3 14-bf040wm 14” Laptop, Full HD IPS Mico Edge Display, Windows 10 Home, Intel Core i3-7100U Processor, 8GB Memory, 1TB Hard Drive",539.0,HP,14 in,8 GB,1 GB,7th Generation Intel Core i3-7100U Processor,2400 Hz,Windows 10,,Eclipse Ci3 bf040wm 14” Full IPS Mico Edge Intel i3 7100U Drive
62,HP Pavilion Power 15-cb010nr Pavilion Power 15-cb010nr,799.99,HP,"15.6""",12 GB,1 TB,Intel Core i5-7300HQ Quad-Core Processor,"2.50 GHz, with a Max Turbo Speed of 3.50 GHz",Windows 10,10 hours 30 minutes,Pavilion cb010nr Pavilion cb010nr
63,"Refurbished HP ProBook 640 G1 14"" Laptop, Windows 10 Pro, Intel Core i5-4300M Processor, 8GB RAM, 128GB Solid State Drive",280.0,HP,"14.0""",8 GB,128 GB,Intel Core i5,2.60 GHz,Windows 10,1 hour,Refurbished ProBook 640 G1 Intel i5 4300M 128GB Drive
64,"HP Eclipse Ci5 14-bf050wm 14” Laptop, Full HD IPS Mico Edge Display, Intel Core i5-7200U Processor, 8GB Memory, 1TB Hard Drive + 128 SSD, Windows 10 Home",719.0,HP,14 in,8 GB,1 GB,7th Generation Intel Core i5-7200U Processor,2500 Hz,Windows 10,,Eclipse Ci5 bf050wm 14” Full IPS Mico Edge Intel i5 7200U Drive 128 SSD
65,HP Notebook - 15-bw030nr LCD Notebook,551.57,HP,"15.6""",8 GB,1 TB,AMD A9-9420 Dual-Core APU Processor,"3.00 GHz, with a Max Turbo Speed of 3.60 GHz",Windows 10,6 hours 45 minutes,Notebook bw030nr LCD Notebook
66,"Refurbished HP 640 G1 14"" Laptop, Windows 10 Pro, Intel Core i5-4300M Processor, 8GB RAM, 320GB Hard Drive",241.5,HP,"14.0""",8 GB,320 GB,Intel Core i5,2.60 GHz,Windows 10,1 hour,Refurbished 640 G1 Intel i5 4300M 320GB Drive
67,"Refurbished HP Elitebook 8460p Laptop WEBCAM, Intel Core i5 2.5ghz, 4GB DDR3, 250GB SATA HDD, DVDRW, Windows 10 Home 64bit w/ Restore Partition",188.0,HP,14.10 Inches,4.00 Gigabytes,250.00 Gigabytes,Intel Core i5,2.50 Gigahertz,Windows 10 Home 64bit,,Refurbished Elitebook 8460p Intel i5 5ghz DDR3 SATA 64bit w
68,"HP Black 15.6"" 15-f211wm Laptop PC with Intel Celeron N2840 Processor, 4GB Memory, touch screen, 500GB Hard Drive and Windows 10 Home",383.0,HP,"15.6""",4 GB,500 GB,Intel Celeron,"2.16 GHz, with a Max Turbo Speed of 2.58 GHz",Windows 10,,Black f211wm Intel Celeron N2840 touch Drive
69,"HP 14-bw065nr 14"" Laptop AMD E2-9000e 4GB DDR4 32GB eMMC Win10",198.99,HP,14.00 Inches,4 Gigabytes,32 Gigabytes,AMD E2-9000e,1.5 Gigahertz,Windows 10,0 h,bw065nr AMD E2 9000e Win10
70,"HP 15-Bw040Nr 15.6"" Laptop, Touchscreen, Windows 10, AMD Quad-Core A12-9720P Processor, 8GB RAM, 1TB Hard Drive",519.99,HP,"15.6""",8 GB,1 TB,AMD Quad-Core A12-9720P Processor,"2.70 GHz, with a Max Turbo Speed of 3.60 GHz",Windows 10,6 hours 45 minutes,Bw040Nr Touchscreen AMD Quad A12 9720P Drive
71,"HP - 17.3"" Laptop - Intel Core i5 - 8GB Memory - 1TB HDD",569.0,HP,17.3 in,8 GB,1 KB,Intel Core i5,2.50 GHz,Microsoft Windows,,17 Intel i5
72,"Refurbished HP 15.6"" ProBook 6570B WA5-0877 Laptop PC with Intel Core i5-3320M Processor, 8GB Memory, 128GB Solid State Drive and Windows 10 Pro",285.0,HP,"15.6""",8 GB,128 GB,Intel Core i5,2.60 GHz,Windows 10,30 minutes,Refurbished ProBook 6570B WA5 0877 Intel i5 3320M 128GB Drive
73,"Refurbished HP 640 G1 14"" Laptop, Windows 10 Pro, Intel Core i5-4300M Processor, 8GB RAM, 320GB Hard Drive",253.31,HP,"14.0""",8 GB,320 GB,Intel Core i5,2.60 GHz,Windows 10,1 hour,Refurbished 640 G1 Intel i5 4300M 320GB Drive
74,"HP Stream Laptop 14-AX050NR, Windows 10 Home, Intel® Celeron® N3060, 14.0-Inch Diagonal HD",249.99,HP,"14.0\""",0 GB,0 GB,Intel N3060,0 Hz,Windows 10,,Stream AX050NR Intel® Celeron® N3060
75,"HP - 14"" Chromebook - Intel Celeron 4GB Memory 16GB eMMC Flash Memory - Silver",189.99,HP,14,4 GB,16,Intel Celeron,,Chrome OS,,Chromebook Intel Celeron Silver
76,"HP Stream 14"" HD Laptop Celeron N3060 Processor 4GB RAM 32GB Storage Windows 10",199.99,HP,14,32 GB,32,,,Microsoft Windows,,Stream Celeron N3060
77,"Manufacturer Refurbished - HP Chromebook 14-ak031nr 14"" N2840 2.16GHz 4GB 16 GB eMMC Chrome OS",169.99,HP,14 in,4 GB,16 GB,Intel Celeron,2.16 GHz,Chrome OS,,Manufacturer Refurbished Chromebook ak031nr N2840 16GHz
78,"Refurbished HP Elitebook 8460p Laptop WEBCAM, Intel Core i5 2.5GHz, 6GB DDR3, 250GB SATA HDD, DVDRW, Windows 10 Home 64bit w/ Restore Partition",198.5,HP,14.10 Inches,6.00 Gigabytes,250.00 Gigabytes,Intel Core i5,2.50 Gigahertz,Windows 10 Home 64bit,,Refurbished Elitebook 8460p Intel i5 5GHz DDR3 SATA 64bit w
79,"Refurbished HP 14-AX040WM Stream 14"" Jet Black Laptop, Intel Celeron N3060 CPU, 4GB RAM 32GB",139.36,HP,"14\""",4 GB,32 GB,,,,,Refurbished AX040WM Stream Jet Black Intel Celeron N3060 CPU
80,"HP Stream Laptop 14-AX040NR, Windows 10 Home, Intel® Celeron® N3060, 14.0-Inch Diagonal HD",259.25,HP,"14.0\""",0 GB,0 GB,Intel N3060,0 Hz,Windows 10,,Stream AX040NR Intel® Celeron® N3060
81,"Refurbished HP 14"" EliteBook 8470P Laptop PC with Intel Core i5-3320M Processor, 8GB Memory, 256GB SSD and Windows 10 Pro",334.41,HP,14.0 in,8 GB,256 GB,Intel Core i5,2.60 GHz,Windows 10,,Refurbished EliteBook 8470P Intel i5 3320M SSD
