ID,Name,Price,Brand,Screen Size,RAM,Hard Drive Capacity,Processor Type,Processor Speed,Operating System,Battery Life,Clean Name
2394,"Refurbished Acer 15.6"" Aspire 5 Notebook AMD A10-9620P 8GB Ram 1TB HDD Win10Home",662.54,Acer,15.6 in,8 GB,1 TB,,2.50 GHz,Windows 10,,Refurbished Aspire Notebook AMD A10 9620P Win10Home
2395,"Refurbished Acer 14"" Intel Core i7 2.7 GHz 8 GB Ram 512 GB SSD Windows 10 Home",757.04,Acer,14 in,8 GB,,,2.70 GHz,Windows 10,,Refurbished Intel i7 GHz 512 SSD
2396,"Refurbished Acer 15.6"" Intel Core i7 2.7 GHz 12 GB Ram 1 TB HDD Windows 10 Home|F5-573G-77BJ",757.04,Acer,15.6 in,12 GB,,,2.70 GHz,Windows 10,,Refurbished Intel i7 GHz 12 F5 573G 77BJ
2397,"Refurbished Acer Notebook 15.6"" Intel Core i7 2.80GHz 8GB Ram 1TB HDD Windows 10 Home",757.04,Acer,15.6 in,8 GB,1 TB,,2.80 GHz,Windows 10,,Refurbished Notebook Intel i7 80GHz
2398,"Acer 15.6"" Intel Core i7 2.60 GHz 8 GB Ram 1 TB HDD Windows 8|VN7-591G-70RT",757.04,Acer,15.6,8,1,Intel Core i7,2.6,Windows 8,,Intel i7 60 GHz VN7 591G 70RT
2399,"Refurbished Acer 13.3"" Intel Core i7 2.0 GHz 8GB Ram 512 GB SSD Windows 8.1|R7-371T-72TC",757.04,Acer,13.3 in,8 GB,,,2.0 GHz,Windows 8,,Refurbished 13 Intel i7 GHz 512 SSD R7 371T 72TC
2400,"Refurbished Acer Aspire 15.6"" Intel i5-7200U 2.5GHz 8GB Ram 256 SSD Geforce 940MX Win10 Home",757.04,Acer,15.6 in,8 GB,,,2.5 GHz,Windows 10,,Refurbished Aspire Intel i5 7200U 5GHz SSD Geforce 940MX Win10
2401,TMP449-M-57JS I5-6200U 2.3G 8GB 256GB SSD 14IN 11AC W10P/W7P,762.99,Acer,14.00 Inches,8 Gigabytes,256 Gigabytes,Intel i5-6200U,2.3 Gigahertz,Windows 7,8 Hours,TMP449 M 57JS I5 6200U 3G SSD 14IN 11AC W10P W7P
2402,"Refurbished Acer 14"" Laptop Intel Core i3 2.30 GHz 4 GB Ram 128GB SSD Windows 7 Professional",776.01,Acer,14 in,4 GB,,,2.30 GHz,Windows 7,,Refurbished Intel i3 30 GHz 128GB SSD Professional
2403,Refurbished Acer Laptop Intel Core i7 1.80 GHz 8 GB Ram 256 GB SSD Windows 10 Home,779.09,Acer,14 in,8 GB,256 GB,,1.80 GHz,Windows 10,,Refurbished Intel i7 80 GHz SSD
2404,"Refurbished Acer 13.3"" Spin 5 Notebook Intel i7-8550U 1.8 GHz 8 GB Ram  HDD Win10Home",779.09,Acer,13.3 in,8 GB,8 GB,,1.8 GHz,Windows 10,,Refurbished 13 Spin Notebook Intel i7 8550U GHz Win10Home
2405,Refurbished Acer Aspire E Laptop Intel Core i7 1.8 GHz 8 GB Ram 256 GB SSD Windows 10 Home,779.09,Acer,15.6 in,8 GB,256 GB,,1.8 GHz,Windows 10,,Refurbished Aspire E Intel i7 GHz SSD
2406,"15.6"" Ci57200u 8g 1tb Win 10",781.51,Acer,15.6,,1,,,Microsoft Windows,,Ci57200u 8g Win
2407,"15.6"" I5 7200u 8GB 1tb Win10h",781.51,Acer,"15.6\""",8 GB,1 TB,,,Microsoft Windows,,I5 7200u Win10h
2408,Acer Cxv2 Chromebox - Intel Core I7 [5th Gen] I7-5500u 2.40 Ghz - 4 Gb Ddr3l Sdram Ram - Chrome Os - Wireless Lan - Bluetooth - Hdmi - 4 X Total Number Of Usb Port[s] - 4 X Usb 3.0 (dt-z0jaa-001),782.56,Acer,,4 GB,,Intel Core i7,2.40 GHz,Chrome OS,,Cxv2 Chromebox Intel I7 5th I7 5500u 40 Ghz Ddr3l Lan X Total Number Of Port s X dt z0jaa 001
2409,"Acer Swift 5 Intel Core i7-7500U X2 2.7GHz 8GB 256GB SSD 14"" Win10, Black (Certified Refurbished)",783.53,Acer,14 Inches,8 Gigabytes,256 Gigabytes,Intel Core i7-7500U,2.7 Gigahertz,Windows 10,6 Hours,Swift Intel i7 7500U X2 7GHz SSD Win10 Black Refurbished
2410,"Acer Spin 3 SP315-51-73UG - 15.6"" - Core i7 7500U - 8 GB RAM - 128 GB SSD + 1 TB HDD - US International",783.64,Acer,15.60 Inches,8 Gigabytes,1 Terabytes,Intel i7-7500U,2.7 Gigahertz,Windows 10,9 Hours,Spin SP315 51 73UG i7 7500U 128 SSD US International
2411,"Refurbished Acer 14"" Laptop Intel Core i7 Dual-Core 1.8GHz 8GB RAM 256GB SSD Windows 7 PC",787.49,Acer,14 in,8 GB,,,1.80 GHz,Windows 7,,Refurbished Intel i7 Dual 8GHz SSD
2412,"Refurbished Acer 14"" Intel Core i7 Dual-Core 2.5GHz 8GB Ram 512GB SSD Windows 7 Professional",789.59,Acer,14 in,8 GB,,,2.50 GHz,Windows 7,,Refurbished Intel i7 Dual 5GHz 512GB SSD Professional
2413,"Manufacturer Refurbished Acer Aspire S5-371T-78TA Ultrabook 13.3"" Intel Core i7-7500U 2.7 GHz 8GB Ram 256GB SSD Windows 10 Home",799.0,Acer,13.3 in,8 GB,256 GB,Intel Core i7,2.7 GHz,Windows 10,,Manufacturer Refurbished Aspire S5 371T 78TA Ultrabook 13 Intel i7 7500U GHz SSD
2414,"Acer SF314-51-52W2 Swift 3 14"" Laptop, Windows 10, Intel Core i5-6200U Processor, 8GB RAM, 256GB Solid State Drive",799.97,Acer,"14.0""",8 GB,256 GB,Intel Core i5,2.30 GHz,Windows 10,,SF314 51 52W2 Swift Intel i5 6200U Drive
2415,"Acer Aspire R 14 Intel Core i7-6500U X2 2.5GHz 8GB 512GB SSD 14"", Black (Certified Refurbished)",809.26,Acer,14 Inches,8 Gigabytes,512 Gigabytes,Intel Core i7-6500U,2.5 Gigahertz,Windows 10,6 Hours,Aspire Intel i7 6500U X2 5GHz 512GB SSD Black Refurbished
2416,"Refurbished Acer 15.6"" Travelmate Laptop Intel Core i7 2.50 GHz 4GB Ram 256GB SSD Win10Home",811.64,Acer,15.6 in,4 GB,256 GB,,2.50 GHz,Windows 10,,Refurbished Travelmate Intel i7 50 GHz SSD Win10Home
2417,Refurbished Acer Aspire Laptops Intel Core i7 2.80 GHz 8GB Ram 256 GB SSD Windows 10 Home,811.64,Acer,15.6 in,8 GB,256 GB,,2.8 GHz,Windows 10,,Refurbished Aspire Laptops Intel i7 80 GHz SSD
2418,"Manufacturer Refurbished Acer Aspire R7-372T-74B3 13.3"" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Core i7-6500U Processor, 8GB RAM, 512GB Solid State Drive",811.64,Acer,"13.3""",8 GB,512 GB,Intel Core i7,2.5 GHz,Windows 10,9 hours 30 minutes,Manufacturer Refurbished Aspire R7 372T 74B3 13 Touchscreen Intel i7 6500U 512GB Drive
2419,"Refurbished Acer Nitro Laptop 15.6"" Intel i5 2.50GHz 16GB Ram 256GB SSD Win10Home",811.64,Acer,15.6 in,16 GB,256 GB,,2.50 GHz,Windows 10,,Refurbished Nitro Intel i5 SSD Win10Home
2420,Refurbished Acer Aspire Nitro Notebook Intel i5-7300HQ 2.5 GHz 8 GB Ram 1 TB HDD Win10Home,811.64,Acer,15.6 in,8 GB,1 TB,,2.5 GHz,Windows 10,,Refurbished Aspire Nitro Notebook Intel i5 7300HQ GHz Win10Home
2421,"Refurbished Acer 15.6"" Intel Core i7 1.8GHz 12GB Ram 1TB HDD + 256GB SSD W10H|A515-51G-85EX",811.64,Acer,15.6 in,12 GB,,,1.80 GHz,Windows 10,,Refurbished Intel i7 8GHz 12GB SSD W10H A515 51G 85EX
