_id,ltable_ID,rtable_ID,ltable_Name,ltable_Brand,ltable_Screen Size,ltable_RAM,ltable_Hard Drive Capacity,ltable_Processor Type,ltable_Processor Speed,ltable_Operating System,ltable_Battery Life,ltable_Clean Name,rtable_Name,rtable_Brand,rtable_Screen Size,rtable_RAM,rtable_Hard Drive Capacity,rtable_Processor Type,rtable_Processor Speed,rtable_Operating System,rtable_Battery Life,rtable_Clean Name
10,457,560,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",HP,11.6 in,4 GB,32 GB,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,10 hours,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,Stream Intel Celeron N3060
11,2,626,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",HP,11.6 in,4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,10 h,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,Stream Intel Celeron N3060
12,457,208,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",HP,11.6 in,4 GB,32 GB,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,10 hours,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,Stream Intel Celeron N3060
13,2,1198,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",HP,11.6 in,4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,10 h,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,Stream Intel Celeron N3060
14,2,560,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",HP,11.6 in,4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,10 h,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,Stream Intel Celeron N3060
15,2,450,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",HP,11.6 in,4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,10 h,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,Stream Intel Celeron N3060
16,2,472,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",HP,11.6 in,4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,10 h,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,Stream Intel Celeron N3060
17,457,472,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",HP,11.6 in,4 GB,32 GB,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,10 hours,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,Stream Intel Celeron N3060
18,457,1264,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",HP,11.6 in,4 GB,32 GB,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,10 hours,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,Stream Intel Celeron N3060
19,457,1176,"HP Stream 11.6"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",HP,11.6 in,4 GB,32 GB,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,10 hours,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,,Stream Intel Celeron N3060
